"UMC","retrieval_date","euctr_name","total_unreported","total_reported","total_due","not_yet_due_trials","inconsistent_trials","total_trials"
"Ulm","2023-07-11","university-of-ulm",10,14,24,18,4,46
"Witten/Herdecke","2023-07-11","university-of-wittenherdecke",1,0,1,4,1,6
"Mannheim","2023-08-07","central-institute-of-mental-health-in-mannheim",1,1,2,8,0,10
"Berlin","2023-08-07","charite-universitatsmedizin-berlin",0,161,161,44,8,213
"Dresden","2023-08-07","dresden-university-of-technology",4,25,29,16,5,50
"Jena","2023-08-07","friedrich-schiller-university-jena",7,5,12,9,5,26
"Frankfurt","2023-08-07","goethe-university",6,13,19,31,2,52
"Hannover","2023-08-07","hannover-medical-school",15,30,45,7,6,58
"Heidelberg","2023-08-07","heidelberg-university-hospital",3,35,38,28,2,68
"Düsseldorf","2023-08-07","heinrich-heine-university-dusseldorf",2,5,7,3,4,14
"Mainz","2023-08-07","johannes-gutenberg-university-of-mainz",10,26,36,12,5,53
"Würzburg","2023-08-07","julius-maximilian-university-of-wurzburg",1,9,10,14,5,29
"Leipzig","2023-08-07","leipzig-university",1,25,26,11,4,41
"Halle-Wittenberg","2023-08-07","martin-luther-university-halle-wittenberg",7,9,16,15,2,33
"Greifswald","2023-08-07","medical-university-greifswald",2,0,2,3,2,7
"Magdeburg","2023-08-07","otto-von-guericke-university-magdeburg",0,16,16,1,7,24
"Marburg","2023-08-07","philipps-university-marburg",1,8,9,6,5,20
"Bochum","2023-08-07","ruhr-university-bochum",3,1,4,10,1,15
"Aachen","2023-08-07","rwth-aachen-university",3,26,29,8,13,50
"Homburg","2023-08-07","saarland-university",3,0,3,9,0,12
"Schleswig-Holstein","2023-08-07","schleswig-holstein-university-hospital",7,4,11,15,5,31
"TU-München","2023-08-07","technical-university-of-munich",0,46,46,12,12,70
"Rostock","2023-08-07","universitat-rostock",1,0,1,2,0,3
"Duisburg-Essen","2023-08-07","university-duisburg-essen",7,7,14,19,6,39
"Erlangen","2023-08-07","university-erlangen-nuremberg",7,26,33,26,5,64
"Tübingen","2023-08-07","university-hospital-tubingen",1,36,37,29,5,71
